report_name,report_agency,date,visits,language
Browser language,Department of Agriculture,1/23/24,173,en-nz
Browser language,Department of Agriculture,1/23/24,152,en-sg
Browser language,Department of Agriculture,1/23/24,141,he-il
Browser language,Department of Agriculture,1/23/24,140,uk-ua
Browser language,Department of Agriculture,1/23/24,135,nb-no
Browser language,Department of Agriculture,1/23/24,133,da-dk
Browser language,Department of Agriculture,1/23/24,118,pl
Browser language,Department of Agriculture,1/23/24,115,id
Browser language,Department of Agriculture,1/23/24,115,nl
Browser language,Department of Agriculture,1/23/24,110,hu-hu
Browser language,Department of Agriculture,1/23/24,108,cs-cz
Browser language,Department of Agriculture,1/22/24,525463,en-us
Browser language,Department of Agriculture,1/22/24,13059,en-gb
Browser language,Department of Agriculture,1/22/24,4231,es-419
Browser language,Department of Agriculture,1/22/24,4127,en-ca
Browser language,Department of Agriculture,1/22/24,3756,zh-cn
Browser language,Department of Agriculture,1/22/24,3618,es-us
Browser language,Department of Agriculture,1/22/24,2987,es-es
Browser language,Department of Agriculture,1/22/24,2558,en
Browser language,Department of Agriculture,1/22/24,1570,en-au
Browser language,Department of Agriculture,1/22/24,1197,es-mx
Browser language,Department of Agriculture,1/22/24,1196,pt-br
Browser language,Department of Agriculture,1/22/24,1190,en-in
Browser language,Department of Agriculture,1/22/24,1135,ja
Browser language,Department of Agriculture,1/22/24,1126,fr-fr
Browser language,Department of Agriculture,1/22/24,948,de-de
Browser language,Department of Agriculture,1/22/24,925,ko-kr
Browser language,Department of Agriculture,1/22/24,862,es
Browser language,Department of Agriculture,1/22/24,644,it-it
Browser language,Department of Agriculture,1/22/24,642,ru-ru
Browser language,Department of Agriculture,1/22/24,632,ru
Browser language,Department of Agriculture,1/22/24,578,zh-tw
Browser language,Department of Agriculture,1/22/24,491,de
Browser language,Department of Agriculture,1/22/24,453,fr
Browser language,Department of Agriculture,1/22/24,425,nl-nl
Browser language,Department of Agriculture,1/22/24,412,tr-tr
Browser language,Department of Agriculture,1/22/24,346,fr-ca
Browser language,Department of Agriculture,1/22/24,319,ko
Browser language,Department of Agriculture,1/22/24,290,id-id
Browser language,Department of Agriculture,1/22/24,286,ar
Browser language,Department of Agriculture,1/22/24,266,pt-pt
Browser language,Department of Agriculture,1/22/24,257,pl-pl
Browser language,Department of Agriculture,1/22/24,248,vi-vn
Browser language,Department of Agriculture,1/22/24,239,th-th
Browser language,Department of Agriculture,1/22/24,237,en-za
Browser language,Department of Agriculture,1/22/24,232,"zh-cn,zh"
Browser language,Department of Agriculture,1/22/24,208,en-ph
Browser language,Department of Agriculture,1/22/24,197,el-gr
Browser language,Department of Agriculture,1/22/24,188,sv-se
Browser language,Department of Agriculture,1/22/24,185,en-nz
Browser language,Department of Agriculture,1/22/24,156,uk-ua
Browser language,Department of Agriculture,1/22/24,147,en-sg
Browser language,Department of Agriculture,1/22/24,141,da-dk
Browser language,Department of Agriculture,1/22/24,131,cs-cz
Browser language,Department of Agriculture,1/22/24,130,he-il
Browser language,Department of Agriculture,1/22/24,125,it
Browser language,Department of Agriculture,1/22/24,122,nl
Browser language,Department of Agriculture,1/22/24,121,id
Browser language,Department of Agriculture,1/22/24,120,hu-hu
Browser language,Department of Agriculture,1/22/24,119,c
Browser language,Department of Agriculture,1/22/24,115,nb-no
Browser language,Department of Agriculture,1/22/24,105,pl
Browser language,Department of Agriculture,1/21/24,296434,en-us
Browser language,Department of Agriculture,1/21/24,11063,en-gb
Browser language,Department of Agriculture,1/21/24,4024,en-ca
Browser language,Department of Agriculture,1/21/24,2945,es-419
Browser language,Department of Agriculture,1/21/24,2840,zh-cn
Browser language,Department of Agriculture,1/21/24,2774,es-us
Browser language,Department of Agriculture,1/21/24,1607,en
Browser language,Department of Agriculture,1/21/24,1549,es-es
Browser language,Department of Agriculture,1/21/24,1525,en-au
Browser language,Department of Agriculture,1/21/24,1179,en-in
Browser language,Department of Agriculture,1/21/24,936,de-de
Browser language,Department of Agriculture,1/21/24,830,es-mx
Browser language,Department of Agriculture,1/21/24,788,fr-fr
Browser language,Department of Agriculture,1/21/24,785,ja
Browser language,Department of Agriculture,1/21/24,649,pt-br
Browser language,Department of Agriculture,1/21/24,597,ru
Browser language,Department of Agriculture,1/21/24,508,ko-kr
Browser language,Department of Agriculture,1/21/24,475,es
